Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,bath twice,use detol or neem in bath,keep infected area dry,use clean cloths
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,apply calamine,cover area with bandage,use ice to compress itching,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,cold baths,anti itch medicine,consult doctor,eat healthy
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,stop irritation,consult nearest hospital,stop taking drug,follow up
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,avoid open cuts,wear ppe if possible,consult doctor,follow up
Diabetes,fatigue,weight_loss,restlessness,lethargy,have balanced diet,exercise,consult doctor,follow up
Diabetes Type 2,excessive_hunger,frequent_urination,blurred_vision,slow_healing,control blood sugar,regular checkup,maintain healthy diet,exercise daily
Gestational Diabetes,excessive_thirst,frequent_urination,fatigue,nausea,monitor blood sugar,consult doctor,balanced diet,regular exercise
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,stop eating solid food,take plenty of fluids,avoid fatty spicy food,rest
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Hypertension,headache,chest_pain,dizziness,loss_of_balance,meditation,salt baths,reduce stress,get proper sleep
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,meditation,reduce stress,use poloroid glasses,consult doctor
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,use heating pad,exercise,take otc pain reliver,consult doctor
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,massage,eat healthy,exercise,consult doctor
Jaundice,itching,vomiting,fatigue,weight_loss,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Malaria,chills,vomiting,high_fever,sweating,consult doctor,avoid oily food,avoid non veg food,keep mosquitos out
Chicken pox,itching,skin_rash,fatigue,lethargy,use neem in bath,consume neem leaves,take vaccine,avoid public places
Dengue,skin_rash,chills,joint_pain,vomiting,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos out,keep hydrated
Typhoid,chills,vomiting,fatigue,high_fever,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,consult doctor,wash hands throughly,avoid fatty spicy food,medication
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,consult doctor,vaccination,eat healthy,medication
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,consult doctor,vaccination,eat healthy,medication
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,consult doctor,medication,eat healthy,follow up
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,stop alcohol,rest,consult doctor,medication
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,stop alcohol,consult doctor,medication,follow up
Tuberculosis,chills,vomiting,fatigue,weight_loss,cover mouth,consult doctor,medication,rest
Common Cold,continuous_sneezing,chills,fatigue,cough,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Pneumonia,chills,fatigue,cough,high_fever,consult doctor,medication,rest,follow up
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Heart attack,vomiting,breathlessness,sweating,chest_pain,call ambulance,chew aspirin,keep calm,
Coronary Artery Disease,chest_pain,shortness_of_breath,fatigue,irregular_heartbeat,quit smoking,reduce cholesterol,exercise regularly,consult cardiologist
Heart Failure,swelling_of_legs,breathlessness,fatigue,irregular_heartbeat,reduce salt intake,monitor weight,take medications,regular checkup
Varicose veins,fatigue,cramps,bruising,obesity,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,reduce stress,exercise,eat healthy,get proper sleep
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,massage,eat healthy,massage,get proper sleep
Hypoglycemia,vomiting,fatigue,anxiety,sweating,lie down on side,check in pulse,drink sugary drinks,consult doctor
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,acetaminophen,consult doctor,follow up,salt baths
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,exercise,use hot and cold therapy,try acupuncture,massage
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Acne,skin_rash,pus_filled_pimples,blackheads,scurring,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,soak affected area in warm water,use antibiotic soap,consult doctor,medication
Lung Cancer,persistent_cough,coughing_blood,chest_pain,weight_loss,quit smoking immediately,consult oncologist,radiation therapy,chemotherapy
Breast Cancer,breast_lump,nipple_discharge,breast_pain,skin_changes,regular screening,consult oncologist,early detection,treatment options
Colorectal Cancer,blood_in_stool,abdominal_pain,weight_loss,fatigue,colonoscopy screening,high fiber diet,consult doctor,treatment
Prostate Cancer,difficulty_urinating,blood_in_urine,pelvic_pain,bone_pain,regular screening,consult urologist,treatment options,follow up
Skin Cancer,unusual_mole,skin_changes,bleeding_spot,itching,avoid sun exposure,use sunscreen,get moles checked,consult dermatologist
Leukemia,fatigue,frequent_infections,easy_bruising,weight_loss,consult hematologist,blood tests,chemotherapy,bone marrow transplant
Liver Cancer,abdominal_pain,weight_loss,yellowish_skin,nausea,avoid alcohol,consult oncologist,liver transplant,treatment options
Stomach Cancer,abdominal_pain,nausea,vomiting_blood,weight_loss,avoid spicy food,consult gastroenterologist,early detection,treatment
Pancreatic Cancer,abdominal_pain,weight_loss,yellowish_skin,dark_urine,consult oncologist,pain management,treatment options,palliative care
Kidney Disease,swelling,fatigue,decreased_urination,nausea,limit salt,monitor blood pressure,consult nephrologist,dialysis if needed
Chronic Kidney Disease,fatigue,swelling_of_feet,decreased_appetite,nausea,control diabetes,control blood pressure,limit protein,regular checkup
Kidney Stones,severe_pain,blood_in_urine,nausea,vomiting,drink water,pain relief,consult urologist,lithotripsy if needed
Alzheimer Disease,memory_loss,confusion,difficulty_speaking,mood_changes,mental stimulation,regular exercise,consult neurologist,support groups
Parkinson Disease,tremors,stiffness,slow_movement,balance_problems,physical therapy,medication,consult neurologist,regular exercise
Multiple Sclerosis,numbness,vision_problems,fatigue,difficulty_walking,medication,physical therapy,consult neurologist,support groups
Epilepsy,seizures,loss_of_consciousness,muscle_spasms,confusion,take medication,avoid triggers,consult neurologist,regular checkup
Stroke,sudden_weakness,difficulty_speaking,vision_problems,severe_headache,call emergency,time is critical,rehabilitation,consult neurologist
Depression,sadness,loss_of_interest,fatigue,sleep_problems,seek therapy,medication if needed,exercise,support groups
Anxiety Disorder,excessive_worry,restlessness,rapid_heartbeat,sweating,therapy,relaxation techniques,medication if needed,support groups
Bipolar Disorder,mood_swings,high_energy,depression,impulsive_behavior,medication,therapy,regular checkup,support groups
Schizophrenia,hallucinations,delusions,disorganized_thinking,social_withdrawal,medication,therapy,consult psychiatrist,support system
Obesity,excessive_weight,fatigue,joint_pain,breathlessness,balanced diet,regular exercise,portion control,consult nutritionist
Anemia,fatigue,pale_skin,shortness_of_breath,dizziness,iron rich diet,vitamin b12,consult doctor,blood tests
Vitamin D Deficiency,bone_pain,muscle_weakness,fatigue,mood_changes,sunlight exposure,vitamin d supplements,consult doctor,regular checkup
Celiac Disease,diarrhea,bloating,weight_loss,fatigue,gluten free diet,consult gastroenterologist,nutritional supplements,regular monitoring
Crohn Disease,diarrhea,abdominal_pain,weight_loss,fatigue,anti inflammatory drugs,consult gastroenterologist,balanced diet,stress management
Ulcerative Colitis,bloody_diarrhea,abdominal_pain,urgency_to_defecate,weight_loss,medication,consult gastroenterologist,avoid triggers,regular checkup
Irritable Bowel Syndrome,abdominal_pain,bloating,diarrhea,constipation,stress management,fiber rich diet,avoid triggers,consult doctor
Gallstones,abdominal_pain,nausea,vomiting,yellowish_skin,low fat diet,consult doctor,surgery if needed,pain management
Appendicitis,abdominal_pain,nausea,vomiting,fever,seek emergency care,surgery,antibiotics,follow up
Meningitis,severe_headache,stiff_neck,high_fever,confusion,seek emergency care,antibiotics,vaccination,isolation
Sepsis,high_fever,rapid_heartbeat,confusion,difficulty_breathing,immediate hospitalization,antibiotics,iv fluids,intensive care
Anaphylaxis,difficulty_breathing,swelling,rapid_pulse,dizziness,use epinephrine,call emergency,avoid allergen,medical alert bracelet
Food Poisoning,nausea,vomiting,diarrhea,abdominal_cramps,stay hydrated,rest,avoid solid food,seek help if severe
Influenza,high_fever,body_aches,fatigue,cough,rest,fluids,antiviral medication,avoid contact with others
COVID-19,fever,dry_cough,fatigue,loss_of_taste,isolate immediately,consult doctor,monitor oxygen,vaccination
Sinusitis,facial_pain,nasal_congestion,headache,thick_nasal_discharge,steam inhalation,nasal spray,pain relief,consult doctor
Tonsillitis,sore_throat,difficulty_swallowing,fever,swollen_tonsils,rest,warm liquids,pain relief,antibiotics if bacterial
Laryngitis,hoarse_voice,sore_throat,dry_cough,difficulty_speaking,rest voice,stay hydrated,avoid irritants,consult doctor
Bronchitis,persistent_cough,mucus_production,fatigue,chest_discomfort,rest,fluids,avoid smoke,consult doctor
Emphysema,shortness_of_breath,chronic_cough,wheezing,fatigue,quit smoking,pulmonary rehab,oxygen therapy,consult pulmonologist
COPD,chronic_cough,shortness_of_breath,wheezing,chest_tightness,quit smoking,bronchodilators,pulmonary rehab,regular checkup
Asbestosis,shortness_of_breath,persistent_cough,chest_pain,finger_clubbing,avoid asbestos,oxygen therapy,consult pulmonologist,supportive care
